name,alias,address,neighborhood,borough,begin_date,end_date,main1980s,mainSubcat,description,source,authors,sourceHyperlink
10 Beech Street,,10 Beech Street,,,,,Music,New Music,"""The critic Peter Frank, who reviewed this scene at the time for the SoHo news, remembers concerts at 530 Canal Street, 10 Beech Street, and 325 Spring Street, all on the fringes of SoHo proper. 'Don't forget [Robert Wilson's] School of Byrds was [upstairs] on Spring Street in the earlier 1970s. . . . I heard Phil Glass's Another Look at Harmony and beginnings of Einstein on the Beach during the beginnings of '75, and I think I heard Ingram Marshall there too.'"" Kostelanetz2003:112.","Kostelanetz, Richard. SoHo: The Rise and Fall of an Artists' Colony. New York: Routledge, 2003.",TB,
10 Bleecker Street,,10 Bleecker Street,,,1972,1974,Music,New Music,"Philip Glass's loft; primary rehearsal space of the Philip Glass ensemble, 1972-74. See Chapman2013.","Chapman, David Allen. â€œCollaboration, Presence, and Community: The Philip Glass Ensemble in Downtown New York,1966-1976."" Ph.D. diss. Washington University in St. Louis, 2013.",TB,
10 Chatham Square,,10 Chatham Square,,,,1972,Music,New Music,"Rehearsal space of Philip Glass ensemble, succeeded by 10 Bleecker Street. See Chapman 2013.",,TB,
112 Greene Street,"112 Workshop, White Columns",112 Greene Street,,,1970,1976,Visual art,,"Founded in 1970 as an alternative art space, 112 Greene Street never formally opened or recieved a name, it was simply referred to by the address. Jeffrey Lew and his wife Rachel Wood bought the building as their home and studio, and with the help of architect Gordon Matta-Clark opened the ground floor and basement as a gallery. Artists would install and dismantle their own work in the space, and most of the art disappeared, which was the intention. Even though Lew stated the purpose of the gallery was because he felt like ""getting it together,"" the art was often the opposite. Lew eventually stopped his involvement with the gallery and sold the building in 1976. The gallery White Columns opened in its place.",,SM,
12 West,River Club,491 West Street,,,,,Disco,,"Members-only gay disco with a more mixed clientele (in re: race and gender) and stronger R&B influence than the  Flamingo. ""'The circuit' initially referred to the post-Stonewall pilgrimage of gay partygoers to Fire Island in the summer and the newly legal clubs du jour in Manhattan during the off-season. . . . Manhattan clubs, such as the Flamingo, 12 West, the Paradise Garage, and the legendary Saint . . . nurtured a new gay dance culture that attracted gay men from across the country and overseas."" Weems2010:181.","Weems, Mickey. â€œâ€˜The Circuitâ€™: Gay Mensâ€™ Techniques of Ecstasy.â€ù In Simon J. Bronner, ed., Manly Traditions: The Folk Roots of American Masculinities, 171-210. Indiana University Press, 2005.",TB,
147 Spring Street,,147 Spring Street,,,1964,,Theater,,"""When playwright, choreographer, and stage director Robert Wilson first came to New York City from Waco, Texas, in 1964, he took a loft at 147 Spring Street. After opening up his own living space for movement workshops, Wilson purchased the ground floor and basement space in 1971 and developed an innovative program of avant-garde theater, experimental movement, and contemporary dance works. He also launched what would become the Byrd Hoffman Foundation [named after dancer Byrd Hoffman], another key venue for the new performance art."" Fensterstock2013:41.","Fensterstock, Ann. Art on the Block: Tracking the New York Art World from SoHo to the Bowery, Bushwick and Beyond. New York: St. Martin's Press, 2013.",TB,
171 A,,171 Avenue A,,,,,Music,Hardcore,"Club on Avenue A ""'where the Bad Brains recorded the ROIR cassette, then there was a great little record store in its basement called Rat Cage.'"" Lucchesi2013.","Lucchesi, Nick. â€œControversy Surrounds Punk Plaque Hanging in Niagra.â€ù Village Voice (November 18, 2013). Accessed July 19. 2016, http://www.villagevoice.com/music/controversy-surrounds-punk-plaque-hanging-in-niagra-6654903.",TB,http://www.villagevoice.com/music/controversy-surrounds-punk-plaque-hanging-in-niagra-6654903
2B,"Corragio Studio, The Garage",Second Street and Avenue B,,,,,Visual art,Sculpture,"""Many public and guerilla sculpture spaces emerged from the Rivington School, most notably the Rivington Sculpture Garden . . . and the Corragio Studio, more commonly known as '2B' or 'The Garage', started by another early founder of the movement, Linus Coraggio. The name '2B' refers to its location at 2nd Street and Avenue B in the East Village of New York City, on which a condominium building now stands."" Rivington2016.","â€œRivington School: Sculpture Gardens.â€ù America Pink website. Accessed June 10, 2016, http://america.pink/rivington-school_3760421.html.",TB,
325 Spring Street,,325 Spring Street,,,,,Music,New Music,"""The critic Peter Frank, who reviewed this scene at the time for the SoHo news, remembers concerts at 530 Canal Street, 10 Beech Street, and 325 Spring Street, all on the fringes of SoHo proper. 'Don't forget [Robert Wilson's] School of Byrds was [upstairs] on Spring Street in the earlier 1970s. . . . I heard Phil Glass's Another Look at Harmony and beginnings of Einstein on the Beach during the beginnings of '75, and I think I heard Ingram Marshall there too.'"" Kostelanetz2003:112. Cf. Fensterstock2013:41.","Kostelanetz, Richard. SoHo: The Rise and Fall of an Artists' Colony. New York: Routledge, 2003.",TB,
5 Ninth Avenue,Home of Nelson Sullivan,5 Ninth Avenue,,,1980s,1980s,Salon,,"""On July 4, 1989, video artist Nelson Sullivan suddenly died of a heart attack, leaving behind almost 1,200 hours of footage of the . . . Downtown New York scene. Ranging from performances by renowned drag queens RuPaul, Lypsinka, Taboo!, and Lady Bunny at the Pyramid Club to parties with notorious â€˜Party Monsterâ€™ Michael Alig, Sullivanâ€™s videos record an insiderâ€™s view of the DIY self-constructed world of nightlife personalities set against the barely recognizable terrain of 1980s New York City. . . . In 1983, Sullivan began videotaping his daily (and nightly) excursions to famed clubs such as the Saint, Limelight, Danceteria, the Tunnel, the Pyramid Club, and Area. . . . Sullivan also attended and recorded the booming East Village galleries, street protests, and parties in his own home at 5 Ninth Avenue, which became an almost Factory-esque meeting place for Sullivanâ€™s nightclubbing friends."" Colucci2016.","Colucci, Emily. â€œRemembering New Yorkâ€™s Downtown Documentarian Nelson Sullivan.â€ù Vice Magazine (July 7, 2014). Accessed July 20, 2016, http://www.vice.com/read/remembering-downtowns-documentarian-nelson-sullivan.",TB,http://www.vice.com/read/remembering-downtowns-documentarian-nelson-sullivan
530 Canal Street,,530 Canal Street,,,,,Music,New Music,"""The critic Peter Frank, who reviewed this scene at the time for the SoHo news, remembers concerts at 530 Canal Street, 10 Beech Street, and 325 Spring Street, all on the fringes of SoHo proper. 'Don't forget [Robert Wilson's] School of Byrds was [upstairs] on Spring Street in the earlier 1970s. . . . I heard Phil Glass's Another Look at Harmony and beginnings of Einstein on the Beach during the beginnings of '75, and I think I heard Ingram Marshall there too.'"" Kostelanetz2003:112.","Kostelanetz, Richard. SoHo: The Rise and Fall of an Artists' Colony. New York: Routledge, 2003.",TB,
55 Bar,,55 Christopher Street,,,1980s,,Music,Jazz,"â€œThe bar takes its name from its street addressâ€”55 Christopher Streetâ€”next door to the former site of the Stonewall Inn, a gay bar where a riot erupted in 1969 after a raid by plainclothes policemen: a watershed moment in the gay liberation movement. . . . Though the 55 has passed through many hands since opening in 1919 . . . it has sustained its status as a lively music spot since the early 80s.. . . .The latest shift in management has seen an increased focus on jazzâ€”from fusion and funk-tinged outfits to more left-leaning approaches. . . . What you can get . . . is an intimate perspective on what many of the cityâ€™s better young players and bandleaders are thinking about. . . . The 55 also is a place where musicians come to socialize. . . . â€˜Cecil [Taylor] would be hanging out in the back . . . for hours, even in daytime, surrounded by the faithful. . . and heâ€™s telling stores. Jazz, Coltrane, Dolphy, dance, Baryshnikov, Martha Graham, history, anecdotes, opinions. Right before he makes a point he always pauses, takes a drag off the ever-present cig: â€˜And then I said to Johnâ€_â€™â€ù Dollar2006:21.","Dollar, Steve. Jazz Guide: New York City. New York: Little Bookroom, 2006.",TB,
8BC,,337 East Eighth Street,,,1983,1985,Music,"Avant-garde jazz, punk rock","8BC ""was located amidst the abandoned and gutted apartment buildings on 8th Street between B and C Avenues in the Lower East Side. 8BC's rising ceiling, eight-foot-high stage, dim lighting, poor heating, peeling walls, and scuffed floors, as well as the bizarre art objects scattered about, lent an eerie ambience to this setting for the performance of music. . . . Performances . . . ranged from Chinese opera to punk rock"" and included avant-garde jazz. Such1993:86-87.","Such, David G. Avant-Garde Musicians Performing â€œOut There.â€ù Iowa City: University of Iowa Press, 1993.",TB,
82 Club,Club 82,82 East Fourth Street,,,1958,1978,Music,,"""â€œIn the 1950s, Club 82 had been one of the premier venues for female impersonators. . . The [New York] Dolls decided to do a show there on 17 April 1974, their notorious drag act. For a brief period after this Club 82 became one of the [hottest] spots for underground music. . . .  In between the fall of the Mercer Arts Club and the rise of CBGB, the pre-Blondie Stilettos, Suicide and Wayne Countyâ€ù performed there. Valentine2006:6.","Gary Valentine, New York Rocker: My Life in the Blank Generation with Blondie, Iggy Pop, and Others, 1974-1981 (New York: Thunderâ€™s Mouth Press, 2006).",TB,
88s,,288 West Tenth Street,,,1987,1997,,,[TB: no source found],,TB,
A Space,,Broome Street between Chrystie & Bowery,,,,,,,[TB: no source found],,TB,
A-7,Niagra's,112 Avenue A,,,,,Music,Punk rock,"""Niagra's back room used to be called A7, a room with a kitchen-tiled floor that was the birthplace of New York's hardcore scene. . . . the bands that played A7 get much of the credit for shaping the youthful sound of American punk after Richard Hell and Cheetah Chrome faded into the background."" Lucchesi2013.","Lucchesi, Nick. â€œControversy Surrounds Punk Plaque Hanging in Niagra.â€ù Village Voice (November 18, 2013). Accessed July 19. 2016, http://www.villagevoice.com/music/controversy-surrounds-punk-plaque-hanging-in-niagra-6654903.",TB,http://www.villagevoice.com/music/controversy-surrounds-punk-plaque-hanging-in-niagra-6654903
The A&P,,215 East Fourth Street,,,,,,,[TB: no source found],,,
Aâ€™s,,330 Broome Street,,,,,"Salon, Music, Art",,"Aâ€™s â€œwas a locus of artistic ferment in the form of weekly gatherings dubbed â€˜Wednesdayâ€™s at Aâ€™s,â€™ where a slew of artists and musicians performed including Jean-Michel Basquiat and his band Gray, Thurston Moore, Glenn Branca, Phoebe Legere and Eric Bogosian, Richard Hambleton, Elliott Sharp and Alan Vega aka Alan Suicide. . . . [Thurston] Moore . . . met the musicians who would go on to play in Sonic Youth, at Aâ€™s. Schloss hosted as many as 300 people at one time at the loft . . . archiving and digitizing a treasure trove of material from Aâ€™s and her own performances. The vibe was relaxed, the art experimental and people just practiced their art. â€˜No one bothered us. The neighborhood was so bad then, no one cared,â€™ she recalls.â€ù Tobi2016.","Elkin, Tobi. â€œWednesdayâ€™s At Aâ€™s,â€ù A Fascinating Window Into Arleen Schlossâ€™ Avant-Garde World. News from the Lower East Side (December 16, 2011). Accessed June 7, 2016, http://www.thelodownny.com/leslog/2011/12/wednesdays-at-as-a-fascinating-window-into-arleen-schloss-avant-garde-world.html.",TB,http://www.thelodownny.com/leslog/2011/12/wednesdays-at-as-a-fascinating-window-into-arleen-schloss-avant-garde-world.html
ABC No Rio,,156 Rivington Street,,,1980,2016?,,,"â€œABC No Rio is a collectively-run center for art and activism. . . . ABC No Rio was founded in 1980 by artists committed to political and social engagement and we retain these values to the present. . . . We seek to facilitate cross-pollination between artists and activists."" ABC2016.","""ABC No Rio: Our World and Welcome to It: The History, Mission, Purpose and Activities of ABC No Rio."" Accessed June 3, 2016, http://www.abcnorio.org/about/overview.html.",TB,
ABC No Rio Zine Library,Blackout Zine Library,107 Suffolk Street,,,1998,,,,"Moved to ABC No Rio space in 1998; relocated to Clemente Velez Cultural Center at some point [date tbd]. ""The ABC No Rio Zine Library contains over thirteen thousand . . . independent, underground and marginal publications on subjects such as music, culture . . . [and] politics. . . . This project began in the Spring of 1998 when we rescued the Blackout Zine Library from a squat in the South Bronx which was to be evicted."" ABC2016.","""ABC No Rio Zine Library."" Accessed June 7, 2016, http://www.abcnorio.org/facilities/zine_library.html.",TB,http://www.abcnorio.org/about/overview.html
Abron Arts Center,"Henry Street Settlement, Henry Street Settlement House, Neighborhood Playhouse, Henry Street Playhouse, Playhouse",466 Grand Street,,,1975,,,,"The Abrons Arts Center (part of the Henry Street Settlement, founded 1893) ""presents exhibitions in all media by artists-in-residence, and local and international contemporary artists. Adjacent is its landmarked 300-seat Neighborhood Playhouse, housing Henry Streetâ€™s visual and performing arts programming alongside its community-based arts training."" Abrons2016.","""Abron Arts Center/Henry Street Settlement."" Accessed June 8, 2016, http://www.nyc-arts.org/organizations/98/abrons-arts-center.",TB,http://www.nyc-arts.org/organizations/98/abrons-arts-center
Academy of Music,The Palladium,126 East Fourteenth Street,,,1960s,1976,,,Originally a movie theater (est. 1927); began booking rock acts in 1960s. See entry for the Palladium.,,,
Aliâ€™s Alley,"Studio 77, New Ali's Alley",77 Greene Street,,,1972,1979,Music,Jazz loft,"â€œIt was opened by Rashied Ali in 1972 in a village loft under the name Studio 77, which he changed in 1974 to Aliâ€™s Alley. It presented mainly free jazz, and to begin with Ali was the principal performer; once the club became established, however, other major free-jazz musicians led groups there, among them Gunter Hampel, Archie Shepp, and Perry Robinson. By 1976 Ali had converted the premises into a bar, restaurant, and club. The venue closed in summer 1979.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Alt. Coffee,Alt dot Coffee,137 Avenue A,,,early 2000s,,Music,Jazz,"â€œA Monday-night jazz series at this venue featured Andrew Dâ€™Angelo and the drummer Matt Hollenbeck, among others. The club has also presented jazz on Friday nights.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Amica Bunker,Alchemical Club,,,,,,,,Mentioned by Anthony Coleman as an important performance space for music. See Kent's photo of Anthony's 1984 Improvisers' Network newsletter.,,,
Anderson Theater,,66 Second Avenue,,,,,,,See entry for CBGB's Second Avenue.,,,
Angel Orensanz Foundation for the Arts,,172 Norfolk Street,,,1992,,,,"Foundation established by a group of artists on the site of the former studio of visual artist Angel Orensanz, who purchased the building in 1986 and renovated the interior. It was originally a synagogue (est. 1849). Since 1992 it has served as a presentation space for art, music, and other events. The Vision Festival and Bang on a Can have both held concerts here. AngelOrsensanz2016; Orsensanz2016.","Angel Orsensanz Foundation. Accessed June 7, 2016, http://www.angelorensanz.com/foundation.html; Angel Orsensanz Foundation. Accessed June 7,  2016, http://www.orensanz.org/history.html. (Two different websites associated with the foundation.)",TB,
Annina Nosei,,100 Prince Street,,,,,,,"Based in SoHo for fifteen years, Annina Nosei Gallery moved to Chelsea in 1995, closing in 2005. The gallery was instrumental in introducing the work of Neo Expressionist Italian and German figurative painters, as well as young American painters, to a market largely dominated by minimalism and conceptual art. From its inception until its closing in 2005, the Annina Nosei Gallery continued to promote young, emerging artists. Nosei is known for being the first dealer to represent Jean-Michel Basquiat from 1981 to about 1983, and for providing him with materials and a space to work in the basement of the gallery.",Fales Annina Nosei finding aid,SM,
The Anvil,,500 West Fourteenth Street,,,,1985,,,"""The growing climate of fear surrounding AIDS, combined with a new city-state drive against establishments that permit 'high-risk sexual activities,' has brought noticeable changes to New York City's homosexual bar and club scene. . . . The changes predated the shutdown on Thursday of . . . the Mine Shaftâ€”which some activists described as the 'granddaddy' of the city's homosexual clubs and which inspectors said permitted dangerous sexual practices. . . . Meanwhile, another longtime West Village club, the Anvil, on 11th Avenue at 14th Street, has quietly shut its doors. 'The Anvil will be closed until further notice,' said a handwritten sign on the locked door of the club, which former patrons said specialized in after-hours sex exhibitions and shows by female impersonators. Other places, possibly expecting raids, conspicuously scrutinized visitors and closed off back rooms.â€ù Blumenthal2016.","Blumenthal, Ralph. â€œAt Homosexual Establishments, A New Climate Of Caution.â€ù New York Times (November 9, 1985). Accessed July 26, 2016, http://www.nytimes.com/1985/11/09/nyregion/at-homosexual-establishments-a-new-climate-of-caution.html?pagewanted=all.",TB,http://www.nytimes.com/1985/11/09/nyregion/at-homosexual-establishments-a-new-climate-of-caution.html?pagewanted=all
Anthology Film Archives,,tbd (Joseph Papp's Public Theater),,,1970,1974,,,"""Anthology Film Archives opened on November 30, 1970 at Joseph Pappâ€™s Public Theater. Jerome Hill was its sponsor. After Hillâ€™s death, in 1974 it relocated to 80 Wooster Street. Pressed by the need for more adequate space, it acquired Manhattanâ€™s Second Avenue Courthouse building in 1979. . . . . The building was adapted to house two motion picture theaters, a reference library, a film preservation department, offices, and a gallery, opening to the public on October 12, 1988."" Anthology2016.","Anthology Film Archives website. Accessed June 8, 2016, http://anthologyfilmarchives.org/about/history.",TB,
Anthology Film Archives,,80 Wooster Street,,,1974,1988?,,,,,,
Anthology Film Archives,,Second Avenue Courthouse,,,1988,,,,,,,
AREA,,6 Hubert Street,,,1983,1987,"Art, Disco",,"â€œArea opened its doors in September 1983 and virtually overnight became the nexus of one of the most vibrant downtown art and club scenes in New York. . . . Area was the brainchild of four guys from California, among them author Eric Goode, whose vision was to create an art project on a monumental scale: Every six weeks, they gutted the enormous space at 157 Hudson and transformed it with a different art theme. Their wildly creative invitations to the opening night of each new installation became the hottest tickets in town, coveted by writers and photographers who together chronicled the club's legendary scene.â€ù Goode2013:[publisher's description].","Goode, Eric and Jennifer Goode. Area: 1983-1987. New York: Harry N. Abrams, 2013.",TB,
Area X,,200 East Tenth Street,,,1984,1987,,,"The Area X Gallery was founded in New York City by Bobbie Sioux Xuereb (Goldberg) in February 1984 and was part of the larger East Village art scene of the 1980s. Featured artists at the gallery included Keith Achepol, Leon Johnson, Linda Gersetin, and Susan Jahoda. The gallery closed in 1987.",,SM,
Art City,,439 East Ninth Street,,,,,,,[TB: no source found],,,
Artistâ€™s House,,131 Prince Street,,,1968,early 1970s,Music,"Jazz loft, jazz avant-garde","Ornette Colemanâ€™s loft. Artist's House â€œset the early standard for a jazz musician-owned establishment, functioning as a home, performance space, recording studio, music workshop, and meeting place.â€ù Gendron2006: 48-49.","Gendron, Bernard. â€œThe Downtown Music Scene.â€ù In Marvin Taylor, ed., The Downtown Book: The New York Art Scene, 1974-1984, 41-64. Princeton, N.J.: Princeton University Press, 2006.",TB,
Artists Space,"Committee on Visual Arts, Inc.",155 Wooster Street,,,1972,1977,,,"Artists Space (originally called the Committee on Visual Arts, Inc.) was founded in 1972 by arts administrator Trudie Grace and critic Irving Sandler as a pilot project for the New York State Council on the Arts (NYSCA). The original goal of the Committee was to support young, emerging artists, specifically those who had not yet had a solo show in New York City. Quickly thereafter, Artists Space became financially independent of the State Council and over the years became one of the most influential alternative non-profit arts spaces in the Downtown New York Scene. hroughout the years, Artists Space, as a non-profit arts organization, has retained its commitment to exhibiting new and experimental artworks, and has expanded its scope to include readings, panel discussions, film programs, and special series, including the International Projects Program, Selections from the Artists File, and others. Artists Space moved from its original location at 155 Wooster Street to 105 Hudson Street in 1977, to 223 West Broadway in 1984, and to its current location at 38 Greene Street in 1993.",Fales Artists Space finding aid,SM,
Artists Space,,105 Hudson Street,,,1977,1984,,,,,,
Artists Space,,223 West Broadway,,,1984,1993,,,,,,
Artists Space,,38 Greene Street,,,1993,,,,,,,
